mapped_pincode,mapped_city_db,mapped_state_db,mapped_city_tat,Latitude,Longitude
785014,Jorhat,AS,Jorhat,26.744238,94.224195
387340,Kapadvanj,GJ,Kapadvanj,22.856685,73.06203
577175,Kadur,KA,Kadur,13.42744,76.091254
403507,Goa,GA,Goa,15.589373,73.8112
424307,Dhule,MH,Dhule,21.063111,74.689363
805123,Nawada,BR,Nawada,24.938086,85.53319
441502,Savner,MH,Savner,21.309879,78.829361
626501,Theni,TN,Theni,10.109979,77.550041
203208,Dadri,UP,Dadri,28.545009,77.539718
522616,Chilakaluripet,AP,Chilakaluripet,16.090178,80.167965
394307,Valsad,GJ,Valsad,20.592413,72.938617
680028,Thrissur,KL,Thrissur,10.574239,76.258763
583285,Koppal,KA,Koppal,15.349024,76.15393
795008,Imphal,MN,Imphal,24.758551,93.92895
581338,Honnavar,KA,Honnavar,14.280452,74.446506
754022,Cuttack,OR,Cuttack,20.554917,86.001483
673616,Kozhikode,KL,Kozhikode,11.358201,75.790459
341027,Nagaur,RJ,Nagaur,27.166026,73.929587
768216,Brajrajnagar,OR,Brajrajnagar,21.82135,83.92541
521110,Pedapadu,AP,Pedapadu,16.63774,81.037177
636014,Salem,TN,Salem,11.66257,78.196997
201018,Ghaziabad,UP,Ghaziabad,28.643339,77.403325
768030,Bargarh,OR,Bargarh,21.462202,83.536492
751009,Bhubaneshwar,OR,Bhubaneshwar,20.26119,85.838036
743330,Baruipur,WB,Baruipur,22.398028,88.490304
801108,Bihta,BR,Bihta,25.6476,84.88577
841238,Maharajganj-BH,BR,Maharajganj-BH,26.111881,84.50488
303511,Lalsot,RJ,Lalsot,26.594472,76.321067
637204,Velur,TN,Velur,11.145068,77.948779
275102,Mau,UP,Mau,25.979576,83.6097
605803,Thirukoilure,TN,Thirukoilure,11.911341,79.258385
571320,Hanur,KA,Hanur,11.988164,77.491606
722202,Barjora,WB,Barjora,23.421497,87.279911
736176,Dinhata,WB,Dinhata,26.115266,89.596455
174034,Ghumarwin,HP,Ghumarwin,31.352629,76.694721
764038,Koraput,OR,Koraput,18.396918,82.680524
110003,Delhi,DL,Delhi,28.589473,77.222227
573162,Hassan,KA,Hassan,13.150408,76.228731
473287,Maksudangarh,MP,Maksudangarh,24.060497,77.254019
524121,Sullurupeta,AP,Sullurupeta,13.709088,80.010467
395009,Surat,GJ,Surat,21.218774,72.791965
473880,Dabra,MP,Dabra,25.640001,77.912003
363440,Limbdi,GJ,Limbdi,22.444594,71.454344
271401,Gonda,UP,Gonda,26.974317,81.909282
305022,Ajmer,RJ,Ajmer,26.491427,74.553983
171220,Theog,HP,Theog,31.078674,77.388302
229125,Lalganj,UP,Lalganj,26.120947,81.107292
507318,Khammam,TS,Khammam,17.218912,80.171104
191131,Srinagar,JK,Srinagar,34.206093,74.762818
562131,Kunigal,KA,Kunigal,13.043225,77.100051
500009,Hyderabad,TS,Hyderabad,17.457739,78.496515
282004,Agra,UP,Agra,27.204262,78.019684
491331,Berla,CG,Berla,21.523347,81.477576
361250,Dhrol,GJ,Dhrol,22.693618,70.305298
413205,Jamkhed,MH,Jamkhed,18.577758,75.205503
500018,Hyderabad,TS,Hyderabad,17.454838,78.425066
625503,Vadipatti,TN,Vadipatti,10.105629,78.111908
505425,Dharmapuri-TS,TS,Dharmapuri-TS,18.947494,79.089891
461445,Itarsi,MP,Itarsi,22.611912,77.767548
422611,Sangamner,MH,Sangamner,19.694684,74.297876
782448,Lanka,AS,Lanka,25.912112,92.94297
248006,Dehradun,UK,Dehradun,30.323781,78.004498
683110,Aluva,KL,Aluva,10.093093,76.317606
143412,Patti,PB,Patti,31.166695,74.943265
500659,Hyderabad,TS,Hyderabad,17.358289,78.507746
302000,Jaipur,RJ,Jaipur,26.905248,75.792389
680522,Thrissur,KL,Thrissur,10.57929,76.044256
229215,Lalganj,UP,Lalganj,26.110952,80.873678
474008,Gwalior,MP,Gwalior,26.233766,78.163335
442606,Manpur,CG,Manpur,20.236038,80.465841
577134,Koppa-ka,KA,Koppa-ka,13.61168,75.512714
385505,Deesa,GJ,Deesa,24.324558,72.327032
140407,Sirhind-Fategarh,PB,Sirhind-Fategarh,30.648169,76.393695
828115,Dhanbad,JH,Dhanbad,23.709212,86.440249
733125,Kaliyaganj,WB,Kaliyaganj,25.378013,88.264986
342004,Jodhpur,RJ,Jodhpur,26.284153,72.998936
243639,Budaun,UP,Budaun,28.001716,79.009419
416112,Kolhapur,MH,Kolhapur,16.835941,74.313276
802210,Arrah,BR,Arrah,25.511128,84.62319
425444,Shahada,MH,Shahada,21.594139,74.624409
700163,Kolkata,WB,Kolkata,22.590913,88.455633
678621,Palakkad,KL,Palakkad,10.797175,76.752014
700161,Kolkata,WB,Kolkata,22.621768,88.45024
769013,Rourkela,OR,Rourkela,22.233938,84.84931
841403,Malmaliya,BR,Malmaliya,26.101548,84.70148
585307,Chincholi,KA,Chincholi,17.456522,77.420722
135003,Yamuna Nagar,HR,Yamuna Nagar,30.165428,77.315268
638116,Erode,TN,Erode,11.367662,77.595555
734403,Siliguri,WB,Siliguri,26.712076,88.425555
828108,Dhanbad,JH,Dhanbad,23.692997,86.417475
621719,Pennadam,TN,Pennadam,11.359883,79.252438
508206,Kodad,TS,Kodad,17.000222,79.962646
731201,Bolpur,WB,Bolpur,23.831058,87.69431
641669,Palladam,TN,Palladam,10.875741,77.196355
768033,Bargarh,OR,Bargarh,21.300279,83.397623
533288,Rampachodavaram,AP,Rampachodavaram,17.436822,81.77867
